Tenant,Application Profile,Consumer Contract,Provier Contract,EPG Name,BD Name,BD GW IP,VRF Name
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,438-DCIX-LOCAL-2-SERVERS-epg,438-DCIX-LOCAL-2-SERVERS-bd,10.14.182.193/26,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,439-DCIX-HYPERV-SMBV3-epg,439-DCIX-HYPERV-SMBV3-bd,10.14.110.129/25,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,440-SQL-2014-CLUSTERS-FRONTEND-epg,440-SQL-2014-CLUSTERS-FRONTEND-bd,10.14.217.1/24,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,441-SQL-2014-CLUSTERS-INFRA-epg,441-SQL-2014-CLUSTERS-INFRA-bd,10.14.218.1/24,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,444-OOBMGMT-epg,444-OOBMGMT-bd,10.14.4.129/27,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,446-VDI-TVP-epg,446-VDI-TVP-bd,10.14.3.1/26,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,447-DC-SERVER-5-epg,447-DC-SERVER-5-bd,10.14.133.1/24,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,448-AGIS-IIS-epg,448-AGIS-IIS-bd,10.14.248.65/26,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,451-SERVERS-UC-epg,451-SERVERS-UC-bd,10.14.192.1/24,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,461-UC13-DCJQ-VOICE-epg,461-UC13-DCJQ-VOICE-bd,10.14.196.1/26,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,462-UC13-DCIX-VOICE-epg,462-UC13-DCIX-VOICE-bd,10.14.196.65/26,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,463-UC13-P-VOICE2SBC-epg,463-UC13-P-VOICE2SBC-bd,10.14.196.129/26,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,464-UC13-P-HA-epg,464-UC13-P-HA-bd,10.14.196.193/27,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,475-SIP-FIX-JQ-epg,475-SIP-FIX-JQ-bd,,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,476-SIP-MOB-JQ-epg,476-SIP-MOB-JQ-bd,,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,477-SIP-FIX-IX-epg,477-SIP-FIX-IX-bd,,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,478-SIP-MOB-IX-epg,478-SIP-MOB-IX-bd,,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,481-DCJQ-SERVER-MGMT1-epg,481-DCJQ-SERVER-MGMT1-bd,10.14.177.1/24,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,482-DCJQ-SERVER-MGMT2-epg,482-DCJQ-SERVER-MGMT2-bd,10.14.178.1/24,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,483-DCIX-SERVER-MGMT1-epg,483-DCIX-SERVER-MGMT1-bd,10.14.179.1/24,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,484-DCIX-SERVER-MGMT2-epg,484-DCIX-SERVER-MGMT2-bd,10.14.180.1/24,FTA-vrf
